id,customer_message,context,true_intent,expected_decision,expected_handling_reason,reference_resolution
gold_123,Question: I received an email claiming my Apple ID was suspended. How do I know if it's phishing scam?,Customer inquiry #123,apple_id_account_security,ESCALATE,Phishing / scam detection keyword trigger.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_124,Question: Someone created an Apple ID using my personal email address without my permission.,Customer inquiry #124,apple_id_account_security,ESCALATE,Identity dispute / unauthorized account creation.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_125,Question: How do I change my primary Apple ID email address from yahoo to gmail?,Customer inquiry #125,apple_id_account_security,AUTO_HANDLE,Self-serve Apple ID change procedure.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_126,Question: My account is locked and security questions are not working. I need help resetting.,Customer inquiry #126,apple_id_account_security,ESCALATE,Account lockout with failed recovery verification.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_127,Question: How do I setup two-factor authentication on my iPad for the first time?,Customer inquiry #127,apple_id_account_security,AUTO_HANDLE,2FA setup walkthrough.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_128,Question: I was billed twice for Netflix through Apple iTunes billing. Please reverse the duplicate charge.,Customer inquiry #128,app_store_billing_subscriptions,ESCALATE,Duplicate billing dispute.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_129,Question: How can I see my complete iTunes purchase history on my iPhone?,Customer inquiry #129,app_store_billing_subscriptions,AUTO_HANDLE,Purchase history review guide.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_130,Question: App Store won't let me download free apps because my account has an unpaid previous balance.,Customer inquiry #130,app_store_billing_subscriptions,AUTO_HANDLE,Unpaid balance resolution steps.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_131,Question: I was scammed by a fake subscription app charging $50 a week and want a full refund!,Customer inquiry #131,app_store_billing_subscriptions,ESCALATE,Scam / fraudulent app dispute.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_132,Question: Can I pay for App Store subscriptions using an Apple Store Gift Card?,Customer inquiry #132,app_store_billing_subscriptions,AUTO_HANDLE,Gift card redemption policy.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_133,"Question: My iPhone will not connect to 5GHz Wi-Fi network, only 2.4GHz works.",Customer inquiry #133,connectivity_network_bluetooth,AUTO_HANDLE,Wi-Fi band troubleshooting.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_134,Question: AirPods case light is flashing amber and won't connect to my phone.,Customer inquiry #134,connectivity_network_bluetooth,AUTO_HANDLE,AirPods amber light reset procedure.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_135,Question: Cellular data is not working while traveling abroad even with roaming enabled.,Customer inquiry #135,connectivity_network_bluetooth,AUTO_HANDLE,Data roaming APN settings.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_136,Question: My phone loses cellular service completely in areas where everyone else has full bars.,Customer inquiry #136,connectivity_network_bluetooth,AUTO_HANDLE,Carrier settings / SIM card check.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_137,Question: Personal Hotspot disappeared from Settings menu on my iPhone.,Customer inquiry #137,connectivity_network_bluetooth,AUTO_HANDLE,Personal hotspot carrier provisioning.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_138,Question: The microphone is muffled during calls but works fine on speakerphone.,Customer inquiry #138,device_hardware_display,AUTO_HANDLE,Bottom microphone cleaning / test.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_139,Question: My iPhone 7 earpiece speaker has very low volume even when turned up to max.,Customer inquiry #139,device_hardware_display,AUTO_HANDLE,Receiver speaker mesh cleaning steps.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_140,Question: There is a dark spot in the corner of all photos taken with my main camera.,Customer inquiry #140,device_hardware_display,AUTO_HANDLE,Camera sensor dust/damage inspection.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_141,Question: How much is an out-of-warranty screen repair for iPhone 8 Plus?,Customer inquiry #141,device_hardware_display,AUTO_HANDLE,Screen repair pricing inquiry.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_142,Question: Contacts from my iPhone are not showing up on iCloud.com website.,Customer inquiry #142,data_sync_backup_icloud,AUTO_HANDLE,iCloud Contacts toggle sync guide.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_143,Question: How do I delete old device backups from iCloud to free up storage space?,Customer inquiry #143,data_sync_backup_icloud,AUTO_HANDLE,iCloud backup management.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_144,Question: My computer iTunes does not recognize my iPhone when plugged into USB.,Customer inquiry #144,data_sync_backup_icloud,AUTO_HANDLE,Trust Computer prompt / driver troubleshooting.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_145,Question: Can I share my 200GB iCloud storage plan with family members?,Customer inquiry #145,data_sync_backup_icloud,AUTO_HANDLE,Family Sharing iCloud setup guide.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_146,Question: How do I check how much AppleCare warranty time I have left on my iPad?,Customer inquiry #146,general_inquiry_features,AUTO_HANDLE,Check Coverage website guide.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_147,Question: Can I trade in a damaged iPhone at an Apple Retail Store for store credit?,Customer inquiry #147,general_inquiry_features,AUTO_HANDLE,Trade-in policy walkthrough.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_148,Question: I need to speak with a human agent right now regarding my order.,Customer inquiry #148,general_inquiry_features,ESCALATE,Human agent trigger.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_149,Question: What is the difference between iPhone 8 and iPhone X?,Customer inquiry #149,general_inquiry_features,AUTO_HANDLE,Product comparison specs.,Standard AppleSupport troubleshooting and advice for general inquiry features.
gold_150,Please help: I got an error saying 'Unable to Verify Update' when trying to install iOS 11 on my iPhone 7.,Customer inquiry #150,ios_software_update,AUTO_HANDLE,OTA verification failure check.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_151,Please help: My iPhone 8 camera app crashes every time I open portrait mode since the 11.2 update.,Customer inquiry #151,ios_software_update,AUTO_HANDLE,App crash post-update troubleshooting.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_152,Please help: Is there an update coming soon to fix the calculator animation bug in iOS 11?,Customer inquiry #152,ios_software_update,AUTO_HANDLE,Known bug release roadmap inquiry.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_153,Please help: How long does an iOS update usually take to prepare on iPhone 6s?,Customer inquiry #153,ios_software_update,AUTO_HANDLE,OTA preparation duration guide.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_154,"Please help: My phone won't turn on after installing the latest update, just a black screen.",Customer inquiry #154,ios_software_update,AUTO_HANDLE,Hard reset sequence after update.,Standard AppleSupport troubleshooting and advice for ios software update.
gold_155,Please help: My battery drops 20% in 10 minutes while using GPS maps in my car.,Customer inquiry #155,battery_performance,AUTO_HANDLE,High drain app optimization advice.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_156,Please help: Can fast charging with a 29W USB-C charger damage my iPhone 8 battery?,Customer inquiry #156,battery_performance,AUTO_HANDLE,Fast charging technical explanation.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_157,Please help: Why does my iPhone battery percentage jump around randomly from 50% to 20% to 35%?,Customer inquiry #157,battery_performance,AUTO_HANDLE,Battery calibration and degradation diagnostics.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_158,Please help: Is wireless charging bad for iPhone X battery health over time?,Customer inquiry #158,battery_performance,AUTO_HANDLE,Inductive charging battery wear facts.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_159,"Please help: My battery health dropped from 100% to 92% in just two months, is that normal?",Customer inquiry #159,battery_performance,AUTO_HANDLE,Standard battery aging curve explanation.,Standard AppleSupport troubleshooting and advice for battery performance.
gold_160,Please help: I received an email claiming my Apple ID was suspended. How do I know if it's phishing scam?,Customer inquiry #160,apple_id_account_security,ESCALATE,Phishing / scam detection keyword trigger.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_161,Please help: Someone created an Apple ID using my personal email address without my permission.,Customer inquiry #161,apple_id_account_security,ESCALATE,Identity dispute / unauthorized account creation.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_162,Please help: How do I change my primary Apple ID email address from yahoo to gmail?,Customer inquiry #162,apple_id_account_security,AUTO_HANDLE,Self-serve Apple ID change procedure.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_163,Please help: My account is locked and security questions are not working. I need help resetting.,Customer inquiry #163,apple_id_account_security,ESCALATE,Account lockout with failed recovery verification.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_164,Please help: How do I setup two-factor authentication on my iPad for the first time?,Customer inquiry #164,apple_id_account_security,AUTO_HANDLE,2FA setup walkthrough.,Standard AppleSupport troubleshooting and advice for apple id account security.
gold_165,Please help: I was billed twice for Netflix through Apple iTunes billing. Please reverse the duplicate charge.,Customer inquiry #165,app_store_billing_subscriptions,ESCALATE,Duplicate billing dispute.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_166,Please help: How can I see my complete iTunes purchase history on my iPhone?,Customer inquiry #166,app_store_billing_subscriptions,AUTO_HANDLE,Purchase history review guide.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_167,Please help: App Store won't let me download free apps because my account has an unpaid previous balance.,Customer inquiry #167,app_store_billing_subscriptions,AUTO_HANDLE,Unpaid balance resolution steps.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_168,Please help: I was scammed by a fake subscription app charging $50 a week and want a full refund!,Customer inquiry #168,app_store_billing_subscriptions,ESCALATE,Scam / fraudulent app dispute.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_169,Please help: Can I pay for App Store subscriptions using an Apple Store Gift Card?,Customer inquiry #169,app_store_billing_subscriptions,AUTO_HANDLE,Gift card redemption policy.,Standard AppleSupport troubleshooting and advice for app store billing subscriptions.
gold_170,"Please help: My iPhone will not connect to 5GHz Wi-Fi network, only 2.4GHz works.",Customer inquiry #170,connectivity_network_bluetooth,AUTO_HANDLE,Wi-Fi band troubleshooting.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_171,Please help: AirPods case light is flashing amber and won't connect to my phone.,Customer inquiry #171,connectivity_network_bluetooth,AUTO_HANDLE,AirPods amber light reset procedure.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_172,Please help: Cellular data is not working while traveling abroad even with roaming enabled.,Customer inquiry #172,connectivity_network_bluetooth,AUTO_HANDLE,Data roaming APN settings.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_173,Please help: My phone loses cellular service completely in areas where everyone else has full bars.,Customer inquiry #173,connectivity_network_bluetooth,AUTO_HANDLE,Carrier settings / SIM card check.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_174,Please help: Personal Hotspot disappeared from Settings menu on my iPhone.,Customer inquiry #174,connectivity_network_bluetooth,AUTO_HANDLE,Personal hotspot carrier provisioning.,Standard AppleSupport troubleshooting and advice for connectivity network bluetooth.
gold_175,Please help: The microphone is muffled during calls but works fine on speakerphone.,Customer inquiry #175,device_hardware_display,AUTO_HANDLE,Bottom microphone cleaning / test.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_176,Please help: My iPhone 7 earpiece speaker has very low volume even when turned up to max.,Customer inquiry #176,device_hardware_display,AUTO_HANDLE,Receiver speaker mesh cleaning steps.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_177,Please help: There is a dark spot in the corner of all photos taken with my main camera.,Customer inquiry #177,device_hardware_display,AUTO_HANDLE,Camera sensor dust/damage inspection.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_178,Please help: How much is an out-of-warranty screen repair for iPhone 8 Plus?,Customer inquiry #178,device_hardware_display,AUTO_HANDLE,Screen repair pricing inquiry.,Standard AppleSupport troubleshooting and advice for device hardware display.
gold_179,Please help: Contacts from my iPhone are not showing up on iCloud.com website.,Customer inquiry #179,data_sync_backup_icloud,AUTO_HANDLE,iCloud Contacts toggle sync guide.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
gold_180,Please help: How do I delete old device backups from iCloud to free up storage space?,Customer inquiry #180,data_sync_backup_icloud,AUTO_HANDLE,iCloud backup management.,Standard AppleSupport troubleshooting and advice for data sync backup icloud.
